Year,City,YP_Section,Name,Address,Cuisine
1996,Scarborough,Restaurants,Fune Japanese Restaurant,100 SImcoe,
1996,Scarborough,Restaurants,G&J's Pizza Parlour,3255 Lawrence Av E,
1996,Scarborough,Restaurants,Ga Lok Gardens,51 Durnford Rd,
1996,Scarborough,Restaurants,Garuda Restaurant,373 Eglinton W,
1996,Scarborough,Restaurants,Gasa Restaurant,2950 kennedy,
1996,Scarborough,Restaurants,Gatsby's Restaurant,504 Church,
1996,Scarborough,Restaurants,Gatwick & Giles Pub,6091 Kingston Rd,
1996,Scarborough,Restaurants,George's Drive-In,840 Markham Rd,
1996,Scarborough,Restaurants,Gerhard's Cafe,1085 Bellamy N,
1996,Scarborough,Restaurants,Ginsberg & Wong,70 St Patrick,
1996,Scarborough,Restaurants,Gleeners ,1225 Kennedy Rd,
1996,Scarborough,Restaurants,Gleeners ,2167 Victoria Park,
1996,Scarborough,Restaurants,Golden Griddle,3090 Eglinton E,
1996,Scarborough,Restaurants,Golden Griddle,10 Milner Business Ct,
1996,Scarborough,Restaurants,Golden In Take OUt,2522 Eglinton E,
1996,Scarborough,Restaurants,Golden Island,24 Southlawn Dr,
1996,Scarborough,Restaurants,Golden Nice Restaurant,2347 Kennedy,
1996,Scarborough,Restaurants,Golden Plate Dining Inc,305 Milner,
1996,Scarborough,Restaurants,Golden Snow Garden Restaurant,19 Milliken,
1996,Scarborough,Restaurants,Gramps & ELaine Roth Place Restaurant,3095 Eglinton E,
1996,Scarborough,Restaurants,Grandview Chinese Restaurant,3601 Victoria Park,
